time,lat,lon,altM
1490142768,-28.589126,153.555248,3410
1490142768,-28.589126,153.555248,3409
1490142768,-28.589126,153.555248,3408
1490142768,-28.589126,153.555248,3411
1490142768,-28.589126,153.555248,3409
1490142768,-28.589126,153.555248,3410
1490142768,-28.589126,153.555248,3413
1490142769,-28.589126,153.555248,3413
1490142769,-28.589126,153.555248,3409
1490142769,-28.589126,153.555248,3413
1490142769,-28.589126,153.555248,3413
1490142769,-28.589126,153.555248,3415
1490142769,-28.589126,153.555248,3416
1490142769,-28.589126,153.555248,3417
1490142769,-28.589126,153.555248,3417
1490142769,-28.589126,153.555248,3416
1490142769,-28.589126,153.555248,3418
1490142770,-28.589126,153.555248,3417
1490142770,-28.589126,153.555248,3416
1490142770,-28.589126,153.555248,3415
1490142770,-28.589126,153.555248,3421
1490142770,-28.589126,153.555248,3417
1490142770,-28.589126,153.555248,3417
1490142770,-28.589126,153.555248,3418
1490142770,-28.589126,153.555248,3418
1490142770,-28.589126,153.555248,3417
1490142770,-28.589126,153.555248,3419
1490142771,-28.589126,153.555248,3420
1490142771,-28.589126,153.555248,3419
1490142771,-28.589126,153.555248,3421
1490142771,-28.589126,153.555248,3422
1490142771,-28.589126,153.555248,3421
1490142771,-28.589126,153.555248,3421
1490142771,-28.589126,153.555248,3421
1490142771,-28.589126,153.555248,3420
1490142771,-28.589126,153.555248,3422
1490142771,-28.589126,153.555248,3423
1490142772,-28.589126,153.555248,3422
1490142772,-28.589126,153.555248,3422
1490142772,-28.589126,153.555248,3424
1490142772,-28.589126,153.555248,3424
1490142772,-28.589126,153.555248,3425
1490142772,-28.589126,153.555248,3425
1490142772,-28.589126,153.555248,3426
1490142772,-28.589126,153.555248,3427
1490142772,-28.589126,153.555248,3427
1490142772,-28.589126,153.555248,3427
1490142773,-28.589126,153.555248,3427
1490142773,-28.589126,153.555248,3428
1490142773,-28.589126,153.555248,3426
1490142773,-28.589126,153.555248,3426
1490142773,-28.589126,153.555248,3427
1490142773,-28.589126,153.555248,3427
1490142773,-28.589126,153.555248,3426
1490142773,-28.589126,153.555248,3427
1490142773,-28.589126,153.555248,3428
1490142773,-28.589126,153.555248,3428
1490142774,-28.589126,153.555248,3429
1490142774,-28.589126,153.555248,3429
1490142774,-28.589126,153.555248,3429
1490142774,-28.589126,153.555248,3430
1490142774,-28.589126,153.555248,3431
1490142774,-28.589126,153.555248,3431
1490142774,-28.589126,153.555248,3433
1490142774,-28.589126,153.555248,3432
1490142774,-28.589126,153.555248,3433
1490142774,-28.589126,153.555248,3433
1490142775,-28.589126,153.555248,3435
1490142775,-28.589126,153.555248,3434
1490142775,-28.589126,153.555248,3435
1490142775,-28.589126,153.555248,3436
